Title,Year,Genre_1,Genre_2,Genre_3,Age_Rating,Runtime,Director,Star_1,Star_2,Star_3,IMDb_Rating,Metascore
Speak No Evil,2022.0,Drama,Horror,Thriller,Not Rated,97,Christian Tafdrup,Morten Burian,Sidsel Siem Koch,Fedja van Huêt,6.6,78.0
The Beekeeper,2024.0,Action,Thriller,,R,105,David Ayer,Jason Statham,Emmy Raver-Lampman,Bobby Naderi,6.4,54.0
Interstellar,2014.0,Adventure,Drama,Sci-Fi,PG-13,169,Christopher Nolan,Matthew McConaughey,Anne Hathaway,Jessica Chastain,8.7,74.0
Ricky Stanicky,2024.0,Comedy,,,R,113,Peter Farrelly,Zac Efron,John Cena,Andrew Santino,6.2,44.0
The Iron Claw,2023.0,Biography,Drama,Sport,R,132,Sean Durkin,Zac Efron,Jeremy Allen White,Harris Dickinson,7.7,73.0
Barbie,2023.0,Adventure,Comedy,Fantasy,PG-13,114,Greta Gerwig,Margot Robbie,Ryan Gosling,Issa Rae,6.8,80.0
Madame Web,2024.0,Action,Adventure,Sci-Fi,PG-13,116,S.J. Clarkson,Dakota Johnson,Sydney Sweeney,Isabela Merced,3.8,26.0
Arcadian,2024.0,Action,Horror,Thriller,R,92,Benjamin Brewer,Nicolas Cage,Jaeden Martell,Maxwell Jenkins,6.3,60.0
Saltburn,2023.0,Drama,Thriller,,R,131,Emerald Fennell,Barry Keoghan,Jacob Elordi,Rosamund Pike,7.0,61.0
Pearl,2022.0,Drama,Horror,Thriller,R,103,Ti West,Mia Goth,David Corenswet,Tandi Wright,7.0,76.0
Cuckoo,2024.0,Horror,Mystery,Thriller,R,102,Tilman Singer,Hunter Schafer,Dan Stevens,Marton Csokas,5.7,58.0
Someone Like You,2024.0,Romance,,,PG,118,Tyler Russell,Sarah Fisher,Jake Allyn,Lynn Collins,6.8,
Rebel Moon - Part One: A Child of Fire,2023.0,Action,Adventure,Drama,PG-13,133,Zack Snyder,Sofia Boutella,Djimon Hounsou,Ed Skrein,5.6,31.0
Ghostbusters: Afterlife,2021.0,Adventure,Comedy,Fantasy,PG-13,124,Jason Reitman,Carrie Coon,Paul Rudd,Finn Wolfhard,7.0,45.0
Land of Bad,2024.0,Action,Thriller,,R,113,William Eubank,Liam Hemsworth,Russell Crowe,Luke Hemsworth,6.5,57.0
Miller's Girl,2024.0,Comedy,Drama,,R,93,Jade Halley Bartlett,Martin Freeman,Jenna Ortega,Bashir Salahuddin,5.2,41.0
Baby Driver,2017.0,Action,Crime,Drama,R,113,Edgar Wright,Ansel Elgort,Jon Bernthal,Jon Hamm,7.5,86.0
American Fiction,2023.0,Comedy,Drama,,R,117,Cord Jefferson,Jeffrey Wright,Tracee Ellis Ross,John Ortiz,7.5,81.0
The Shawshank Redemption,1994.0,Drama,,,R,142,Frank Darabont,Tim Robbins,Morgan Freeman,Bob Gunton,9.3,82.0
Damaged,2024.0,Action,Crime,Drama,R,97,Terry McDonough,Samuel L. Jackson,Vincent Cassel,Gianni Capaldi,4.5,
The Bricklayer,2023.0,Action,Thriller,,R,110,Renny Harlin,Aaron Eckhart,Nina Dobrev,Clifton Collins Jr.,5.1,
Gojira -1.0,2023.0,Action,Adventure,Drama,PG-13,124,Takashi Yamazaki,Minami Hamabe,Sakura Andô,Ryunosuke Kamiki,8.3,81.0
Amar Singh Chamkila,2024.0,Biography,Drama,Music,TV-MA,145,Imtiaz Ali,Diljit Dosanjh,Parineeti Chopra,Apinderdeep Singh,8.2,
Ghostbusters,1984.0,Action,Comedy,Fantasy,PG,105,Ivan Reitman,Bill Murray,Dan Aykroyd,Sigourney Weaver,7.8,71.0
Godzilla vs. Kong,2021.0,Action,Sci-Fi,Thriller,PG-13,113,Adam Wingard,Alexander Skarsgård,Millie Bobby Brown,Rebecca Hall,6.3,59.0
All of Us Strangers,2023.0,Drama,Fantasy,Romance,R,105,Andrew Haigh,Andrew Scott,Paul Mescal,Carter John Grout,7.7,90.0
The Omen,1976.0,Horror,Mystery,,R,111,Richard Donner,Gregory Peck,Lee Remick,Harvey Stephens,7.5,62.0
Killers of the Flower Moon,2023.0,Crime,Drama,History,R,206,Martin Scorsese,Leonardo DiCaprio,Robert De Niro,Lily Gladstone,7.6,89.0
The Hunger Games: The Ballad of Songbirds & Snakes,2023.0,Action,Adventure,Drama,PG-13,157,Francis Lawrence,Rachel Zegler,Tom Blyth,Viola Davis,6.8,54.0
The Holdovers,2023.0,Comedy,Drama,,R,133,Alexander Payne,Paul Giamatti,Da'Vine Joy Randolph,Dominic Sessa,7.9,82.0
Perfect Days,2023.0,Drama,,,PG,124,Wim Wenders,Koji Yakusho,Tokio Emoto,Arisa Nakano,7.9,80.0
Mean Girls,2024.0,Comedy,Musical,,PG-13,112,Samantha Jayne,Angourie Rice,Reneé Rapp,Auli'i Cravalho,5.7,58.0
Lisa Frankenstein,2024.0,Comedy,Horror,Romance,PG-13,101,Zelda Williams,Kathryn Newton,Liza Soberano,Jenna Davis,6.1,47.0
Happy Gilmore,1996.0,Comedy,Sport,,PG-13,92,Dennis Dugan,Adam Sandler,Christopher McDonald,Julie Bowen,7.0,31.0
Night Swim,2024.0,Horror,Thriller,,PG-13,98,Bryce McGuire,Wyatt Russell,Kerry Condon,Amélie Hoeferle,4.7,43.0
The American Society of Magical Negroes,2024.0,Comedy,Fantasy,,PG-13,104,Kobi Libii,Justice Smith,Zachary Barton,Anthony Coons,2.8,52.0
Música,2024.0,Comedy,Music,Romance,PG-13,91,Rudy Mancuso,Rudy Mancuso,Camila Mendes,Francesca Reale,6.5,74.0
Snack Shack,2024.0,Comedy,,,R,112,Adam Rehmeier,Conor Sherry,Gabriel LaBelle,Mika Abdalla,7.0,64.0
The Time Travelers,1964.0,Sci-Fi,,,Approved,84,Ib Melchior,Preston Foster,Philip Carey,Merry Anders,5.2,
Top Gun: Maverick,2022.0,Action,Drama,,PG-13,130,Joseph Kosinski,Tom Cruise,Jennifer Connelly,Miles Teller,8.2,78.0
Breathe,2024.0,Action,Thriller,,PG-13,93,Stefon Bristol,Jennifer Hudson,Milla Jovovich,Quvenzhané Wallis,3.6,
